Taxa	PT015	PT002	s58.Healthy.greaterthan5.Feces.Baseline	CN031	PH043	CN004	PH042	PH048	s.331.Healthylessthan5.Stool.1.2556	CN023	PT003	s.278.Healthylessthan5.Stool.visit1.2298	s064.Healthy_greaterthan5.Feces.Baseline	s.86.Healthy_greaterthan5.Feces.Baseline	PH029	s048.Healthy_lessthan5.Feces.Baseline	PH047	PH011	s.280.Healthylessthan5.Stool.visit1.2273	PH005	PH049	CN002	s.298.Healthylessthan5.Stool.1.2374	PT004	s066.Healthy_lessthan5.Feces.Baseline	s.91.Healthy.greaterthan5.Feces.Baseline	s.274.Healthylessthan5.Feces.Baseline	s.88.Healthy_greaterthan5.Feces.Baseline	PH045	PT012	PT018	PH025	CL007	PH024	s.87.Healthy_greaterthan5.Feces.Baseline	PT005	s60.Healthy.greaterthan5.Feces.Baseline	s.257.Healthylessthan5.Stool.1.1953	CN011	s083.Healthy_lessthan5.Feces.Baseline	s.109.Healthy.greaterthan5.Stool.1.910	PH021	CN013	PH008	CL009	PT013	PT014	PH002	PT019	s.294.HealthyLess.Than5.Stool.1.2296	CN029	PH028	s115.Healthy_greaterthan5.Feces.Baseline	PH022	CL002	CL005	PH020	CN022	PH019	PT006	s22.Healthy.Feces.Visit1	s69.Healthy_greaterthan5.Feces.Baseline	PH050	s.260.Healthylessthan5.Feces.Baseline	CN027	s.276.Healthylessthan5.Stool.visit1.2112	CN005	CN030	s.356.Healthy.lessthan5.Stool.1.2764	PT017	PH012	s95.Healthy.lessthan5.Feces.Baseline	CL010	s26.Healthy.Feces.Visit1	PH023	s.158.Healthy_lessthan5.Feces.Baseline	s30	PT009	PH017	s45.Healthy_lessthan5.Feces.Baseline	PH031	PT007	PT010	CL006	s.85.Healthy_greaterthan5.Feces.Baseline	PH018	s.290.Healthylessthan5.Stool.visit1.2284	CL003	s.84.Healthy_greaterthan5.Feces.Baseline	PH016	PH051	PH007	CN017	CL008	s.208.Healthy_lessthan5.Feces.Baseline	s.79.Healthy_greaterthan5.Feces.Baseline	CN026	PH027	PH038	PH041	s50.Healthy_lessthan5.Feces.Baseline	s47.Healthy_lessthan5.Feces.Baseline	PH040	s.75.Healthy_greaterthan5.Feces.Baseline	PH010	s128.Healthy_lessthan5.Feces.Baseline	s049.Healthy_greaterthan5.Feces.Baseline	PH035	s125.Healthy_lessthan5.Feces.Baseline	s.89.Healthygreaterthan5.Feces.Baseline	s.153.Healthy_lessthan5.Feces.Baseline	PH054	s46.Healthy.greaterthan5.Feces.Baseline	CN019	s70.Healthy_greaterthan5.Feces.Baseline	s.149.Healthy_lessthan5.Feces.Baseline	PH046	PH052	PT001	s.283.HealthyLess.Than5.Stool.1.2299	s.303.Healthylessthan5.Stool.1.2291	s.353.Healthygreaterthan5.Stool.1.2756	CN007	PH013	CN024	s68.Healthy_greaterthan5.Feces.Baseline	CN020	PH034	CL004	CN006	PH039	s.100.Healthygreaterthan5.Stool.visit1.798	PH037	s.74.Healthy_greaterthan5.Feces.Baseline	CN021	PH036	PH026	PT011	s6.Healthy.Feces.Visit1	CL001
p__Proteobacteria g__Halorhodospira	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p__Proteobacteria g__Halorhodospira s__halochloris	0	0	12	1	0	0	2	13	3	30	11	0	19	9	0	19	13	0	11	24	0	26	6	3	10	1	27	72	2	0	5	0	5	3	28	3	0	0	3	0	0	0	0	3	5	0	1	0	6	1	1	6	3	1	2	2	4	0	2	1	0	0	22	0	1	2	0	0	0	0	0	50	1	3	3	6	0	0	0	2	0	28	1	1	3	1	0	0	2	0	0	0	10	0	6	25	1	0	1	2	2	0	4	0	66	2	34	2	0	5	29	5	3	1	2	8	2	0	0	0	0	3	0	0	1	3	0	0	0	0	0	3	7	14	0	3	0	0	3	0
p__Proteobacteria g__Halorhodospira s__halophila	2	5	12	10	0	0	1	56	11	7	16	2	5	13	0	35	52	0	37	7	0	35	29	12	7	3	12	7	2	0	21	0	43	10	12	9	6	4	0	3	1	1	0	1	22	0	0	0	31	6	4	18	25	9	15	0	5	7	3	2	8	1	15	5	3	3	0	0	60	57	1	20	11	18	3	27	3	2	0	9	1	35	0	2	64	11	3	0	26	0	2	0	0	2	4	10	18	14	5	2	0	15	2	5	13	4	54	42	0	2	14	23	4	5	2	17	9	0	0	3	4	13	0	4	4	10	0	0	0	1	4	11	15	20	0	0	0	0	11	0
p__Proteobacteria g__Halotalea s__alkalilenta	1	1	11	1	1	1	2	28	21	0	15	0	25	22	15	10	40	0	13	13	0	29	18	3	0	16	13	8	7	0	0	0	13	20	25	3	6	5	2	0	7	0	0	0	7	0	0	0	9	0	0	44	7	15	10	9	14	0	5	0	6	0	13	5	0	16	4	0	1	16	2	22	15	12	4	1	5	0	2	3	9	24	2	2	42	17	4	3	20	0	10	0	0	8	6	29	2	1	10	5	3	7	2	15	9	0	46	35	0	4	4	9	10	30	3	7	12	0	0	2	0	14	1	6	8	13	0	0	1	31	0	22	17	31	2	1	0	2	10	1
p__Proteobacteria g__Halothiobacillus	0	0	0	0	0	0	0	6	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	1	1	0	0	3	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p__Proteobacteria g__Halothiobacillus s__neapolitanus	0	0	8	35	0	2	3	0	4	2	1	2	2	0	0	37	3	0	2	2	0	5	61	2	14	16	3	10	21	0	4	0	2	0	2	1	3	2	8	0	24	73	7	1	34	285	0	0	6	155	0	11	3	4	4	0	0	4	0	7	0	10	15	30	2	3	0	0	16	13	1	5	105	5	0	9	8	0	1	2	17	27	1	5	14	10	3	1	6	0	1	0	5	1	162	9	0	2	0	3	1	3	0	1	13	1	40	0	1	1	30	1	4	5	1	30	6	0	3	1	2	8	0	0	3	6	0	0	0	0	3	3	7	6	1	6	0	0	4	298
p__Proteobacteria g__Halothiobacillus s__sp. LS2	3	6	118	15	0	0	3	13	12	7	20	1	4	25	15	6	9	0	10	11	0	5	7	11	16	2	29	9	3	0	26	0	3	27	31	16	6	4	0	0	5	1	0	0	2	0	0	0	35	4	20	27	11	9	5	11	10	9	3	1	10	0	8	12	1	19	29	0	2	18	1	8	9	12	10	6	3	14	12	3	4	29	2	13	13	7	5	0	16	0	9	0	0	4	1	15	11	7	1	4	2	5	13	3	20	3	19	81	0	2	11	38	13	0	5	9	26	0	0	8	3	82	0	9	16	8	0	0	0	0	3	15	17	17	3	0	0	0	20	3
p__Proteobacteria g__Hartmannibacter s__diazotrophicus	2	11	142	14	2	19	1	41	10	5	6	3	19	22	2	16	30	0	9	27	1	24	23	33	53	7	47	32	15	0	15	1	3	54	32	95	6	16	6	19	10	13	0	1	81	1	0	0	65	2	0	23	53	62	17	2	6	2	27	9	10	6	9	20	0	46	1	0	1	82	3	14	15	36	146	24	2	21	72	7	33	53	1	29	66	0	6	34	33	4	0	6	27	17	17	8	11	15	98	17	1	4	3	11	53	0	46	47	0	21	14	35	14	3	0	32	17	0	4	1	1	14	0	25	1	17	5	0	0	0	41	14	42	49	1	0	0	0	19	0
p__Proteobacteria g__Helicobacter	0	0	3	6	0	0	0	0	2	0	1	0	2	4	0	0	0	0	2	0	1	1	16	3	4	11	11	5	0	0	217	0	0	4	5	17	6	2	0	0	0	0	0	0	0	0	0	0	9	0	1	3	0	1	1	0	0	5	0	4	1	0	0	7	0	3	0	0	0	0	0	0	0	11	0	8	0	81	0	0	3	8	0	0	1	84	0	1	6	0	0	0	17	42	1	0	0	0	0	0	0	2	1	0	1	0	4	28	0	0	3	1	1	0	2	0	0	0	0	0	0	14	36	0	1	2	0	0	0	1	0	1	1	3	1	0	52	0	9	0
p__Proteobacteria g__Helicobacter s__acinonychis	0	0	0	0	0	0	0	0	0	0	6	0	0	0	1	0	1	0	1	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	1	0	11	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	5	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	40	0	0
p__Proteobacteria g__Helicobacter s__apodemus	0	0	7	0	4	0	1	0	5	0	6	0	4	16	0	1	0	0	0	0	269	1	5	8	0	1	26	52	65	0	0	0	3	1	1	3	2	4	2	0	4	0	1	1	0	0	0	0	4	3	1	3	36	0	2	2	7	22	4	12	4	0	4	0	3	1	0	149	0	0	0	0	0	2	0	1	1	2	0	5	0	7	2	0	6	0	21	0	1	0	0	0	4	0	0	19	1	5	0	9	4	0	1	0	1	1	4	1	0	15	12	0	2	0	0	0	2	0	1	8	8	10	0	6	0	1	0	8	0	7	0	3	2	0	11	0	0	0	0	0
p__Proteobacteria g__Helicobacter s__bilis	0	1	0	25	0	10	26	3	0	0	11	5	2	4	1	1	11	0	2	0	0	0	0	2	2	1	0	1	1	0	4	0	13	1	0	4	1	1	0	0	1	0	1	0	4	0	0	0	8	2	0	3	0	12	4	1	4	24	0	3	2	1	6	3	18	9	9	0	3	5	0	0	10	16	1	1	2	0	0	1	1	33	1	1	13	1	0	4	0	0	0	0	8	32	1	4	8	0	6	2	5	0	0	0	0	3	4	76	32	6	7	5	2	1	2	0	0	0	0	0	5	5	0	0	14	0	0	0	2	0	10	0	2	1	3	33	0	0	3	2
p__Proteobacteria g__Helicobacter s__bizzozeronii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	5	0	0	0	0	0	0	0	0	2	3	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	2	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	2	0	0	0	0	4	0	0	0	4	0	0	0	4	0	0	0	0	0	1	0	1	0	0	0	0	0	2	0	5	0	1	8	0	0	0	0	0	0	0	0	1	0	0	0	1	2	0	0	2	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0
p__Proteobacteria g__Helicobacter s__canadensis	0	8	3	5	0	0	1	0	5	0	2	0	1	2	0	1	1	0	6	0	1	2	3	0	0	0	8	0	3	0	0	0	7	0	12	0	0	17	0	0	1	0	0	1	2	0	0	0	4	3	7	32	5	13	0	0	0	6	0	0	0	2	4	5	0	1	0	1	0	0	0	3	5	1	0	5	0	0	0	3	2	0	0	3	2	0	0	0	4	0	0	0	0	2	4	12	2	3	1	2	0	2	3	0	2	0	8	0	2	2	32	1	0	2	1	0	0	0	0	0	25	5	0	2	0	1	0	5	0	0	62	0	1	5	0	0	35	0	2	0
p__Proteobacteria g__Helicobacter s__cetorum	0	0	0	0	1	0	0	10	2	0	0	1	2	0	8	4	0	0	0	0	0	2	1	1	30	0	0	0	0	26	0	0	0	1	1	1	4	0	0	0	0	0	3	0	0	0	1	0	3	0	0	5	7	0	0	0	0	0	0	0	2	0	1	1	0	2	0	0	15	1	0	0	1	1	0	3	0	0	0	1	0	1	0	0	2	0	0	0	8	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	2	26	1	0	2	9	3	0	0	3	2	0	0	0	7	3	0	0	0	0	0	2	0	0	0	0	3	1	61	0	0	0	2	0
p__Proteobacteria g__Helicobacter s__cinaedi	0	17	1	0	0	0	1	16	1	0	0	0	0	8	0	0	4	0	0	6	1	1	3	0	4	0	5	0	0	0	0	0	3	3	9	7	0	1	0	0	1	0	1	0	0	0	0	0	1	0	1	2	1	1	4	0	4	0	2	2	3	2	3	0	2	14	0	0	2	0	0	0	1	5	0	4	0	0	0	0	1	0	0	0	2	0	1	0	16	0	0	0	1	1	0	6	0	0	0	12	3	8	0	0	1	0	6	0	0	0	6	7	1	0	0	0	7	0	0	1	0	19	0	0	0	4	0	7	0	0	0	1	2	5	50	0	0	0	3	3
p__Proteobacteria g__Helicobacter s__felis	1	1	1	1	0	2	4	3	0	1	3	2	1	0	0	0	3	0	0	4	0	1	4	2	1	0	0	2	0	0	10	0	1	2	1	2	0	0	0	0	0	0	0	0	0	3	0	0	1	0	2	1	0	2	0	2	0	2	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	3	1	0	0	35	108	0	0	3	1	1	10	0	0	6	0	0	0	0	29	0	0	0	0	0	0	0	1	0	1	0	2	3	0	1	0	0	1	4	0	6	0	0	0	0	0	2	0	0	0	0	5	0	0	0	0	0	34	1	0	0	0	0	0	0	0	0
p__Proteobacteria g__Helicobacter s__hepaticus	1	2	0	0	0	1	0	0	14	0	0	0	5	2	6	0	0	0	13	8	148	3	15	0	26	0	0	6	0	0	2	0	49	2	2	2	1	0	0	0	0	0	2	0	13	0	0	0	19	5	0	9	12	0	1	1	0	0	0	0	3	0	0	1	0	1	0	132	2	0	0	18	0	9	0	5	0	0	0	0	2	0	0	0	8	0	0	0	0	0	0	0	0	0	29	2	0	1	0	0	0	8	0	4	0	0	58	1	0	2	10	2	0	0	3	2	13	0	0	0	0	7	1	0	0	8	0	0	0	3	0	4	2	14	5	0	0	0	2	0
p__Proteobacteria g__Helicobacter s__himalayensis	0	4	0	2	21	7	1	1	1	0	0	0	0	1	0	3	8	0	2	6	187	1	2	2	13	0	0	6	1	0	1	0	2	35	0	5	0	0	2	0	0	0	2	0	2	1	0	0	6	0	10	3	0	15	1	0	1	2	3	1	0	1	7	0	0	1	2	115	0	2	0	0	1	3	43	4	0	5	0	2	0	23	2	6	0	0	1	0	1	0	0	0	0	4	0	1	0	1	1	10	1	1	0	12	2	1	12	6	0	2	1	4	0	1	0	1	10	0	0	0	1	0	0	0	2	5	0	5	0	1	0	11	9	2	0	0	0	0	0	0
p__Proteobacteria g__Helicobacter s__mustelae	0	7	0	9	0	20	0	9	1	0	3	0	1	6	0	9	21	0	2	22	0	2	4	4	4	0	4	3	2	0	2	0	4	53	2	12	2	2	3	0	6	0	0	0	2	0	0	3	50	1	0	3	1	32	4	1	1	0	1	2	2	1	6	5	0	0	0	0	22	1	0	0	1	1	69	4	3	1	0	3	1	32	4	0	1	0	0	1	0	0	0	0	0	10	2	4	0	2	17	23	1	1	0	14	0	0	0	0	0	6	6	12	1	0	1	4	3	0	0	1	3	2	0	2	6	4	0	2	0	0	2	0	43	1	0	0	0	0	3	0
p__Proteobacteria g__Helicobacter s__pylori	6	68	76	4	0	21	2	6	4	0	4	2	8	4	8	38	6	0	20	8	0	2	37	6	15	8	60	28	1	129	67	0	3	5	3	17	5	13	0	0	0	0	0	0	13	1	0	0	20	3	1	16	71	5	5	0	3	10	11	2	0	12	6	4	0	14	1	0	8	3	1	48	7	42	1	72	23	122	0	2	6	6	0	3	33	101	11	0	4	0	0	0	3	203	3	5	25	1	13	7	7	0	0	6	0	4	78	33	0	10	14	1	12	1	1	3	7	0	2	4	5	6	3	5	2	24	1	145	0	0	132	19	16	11	4	1	0	128	11	1
p__Proteobacteria g__Helicobacter s__sp. MIT 01-6242	0	0	0	3	0	0	1	0	5	2	2	0	10	1	0	0	2	0	0	0	0	0	0	0	0	2	1	22	0	0	12	0	0	1	3	0	5	0	0	0	2	0	0	0	0	0	0	0	5	0	0	5	0	0	6	0	2	1	0	0	0	0	0	0	0	12	0	0	0	0	0	0	1	2	0	15	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	10	0	0	0	2	0	0	0	0	0	1	1	0	24	0	0	7	0	0	0	0	0	0	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	5
p__Proteobacteria g__Helicobacter s__typhlonius	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	4	0	0	1	1	0	0	2	1	0	0	0	1	0	0	0	0	6	0	1	1	1	0	0	0	1	0	14	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	1	3	1	1	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	2	0	1	2	0	0	0	0	0	0	0	0	0	1	2	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	2	0
p__Proteobacteria g__Herbaspirillum	0	0	2	0	0	9	1	4	3	4	15	0	2	5	0	9	11	0	4	8	0	0	7	3	0	1	4	5	6	2	0	0	3	27	2	14	7	2	2	1	1	0	0	0	5	0	0	1	16	1	0	4	2	9	0	0	0	0	3	1	1	1	23	5	0	0	3	0	5	95	1	0	10	5	18	2	2	5	0	2	2	7	4	6	2	8	4	4	5	0	0	0	0	13	0	4	0	13	0	5	3	0	0	6	6	0	8	3	0	1	1	7	11	3	1	27	7	0	3	18	3	15	0	17	4	3	1	0	0	0	0	0	9	6	1	0	0	0	1	0
p__Proteobacteria g__Herbaspirillum s__frisingense	0	2	12	5	0	28	3	22	9	1	35	0	9	32	1	15	48	0	10	20	5	15	9	9	2	5	17	17	13	1	1	1	9	108	23	8	9	12	3	6	6	4	0	0	8	0	0	2	46	2	10	15	12	47	14	0	7	9	4	1	3	3	21	13	0	5	2	0	3	63	4	5	32	22	78	4	18	5	2	3	4	36	8	17	11	14	25	29	9	0	0	0	2	13	3	13	3	25	2	12	6	8	0	11	11	7	12	31	1	12	10	15	3	0	1	13	7	0	12	17	7	15	4	21	6	9	0	0	0	1	1	12	65	19	1	0	0	0	5	0
p__Proteobacteria g__Herbaspirillum s__hiltneri	2	1	5	4	4	17	1	34	8	81	12	0	14	4	55	25	23	0	10	60	0	7	33	8	3	5	15	12	6	0	22	1	93	81	3	44	6	3	6	70	1	1	0	1	25	1	0	5	57	14	6	12	26	33	4	7	5	7	4	1	0	2	10	4	1	6	0	0	14	59	1	21	101	10	78	73	11	14	1	3	2	30	6	14	87	1	4	9	42	0	2	0	112	19	67	0	20	11	8	22	8	18	1	19	15	10	54	3	0	7	31	44	6	1	5	19	19	0	1	8	10	18	0	17	15	6	0	0	0	0	3	8	33	22	3	0	0	0	17	1
p__Proteobacteria g__Herbaspirillum s__rubrisubalbicans	0	0	7	18	0	26	5	19	5	2	5	0	4	21	17	25	37	0	3	15	1	4	9	1	4	5	25	3	8	0	2	1	5	68	14	16	9	2	2	15	5	0	0	0	4	0	1	3	32	0	3	7	12	27	7	1	0	5	5	2	10	0	21	11	5	10	122	0	2	61	3	0	12	10	83	1	1	11	0	8	5	56	5	7	13	17	9	15	5	0	0	0	0	8	6	4	1	7	2	17	1	5	5	8	1	6	13	0	0	5	7	32	1	3	10	30	13	0	17	19	0	7	0	19	55	20	0	0	0	0	0	12	14	16	5	0	0	0	5	1
p__Proteobacteria g__Herbaspirillum s__seropedicae	0	4	29	11	0	0	1	3	11	0	27	1	5	6	16	8	5	3	7	4	1	7	12	9	8	1	14	4	9	1	1	2	4	11	10	7	2	5	0	5	0	1	0	0	3	4	0	0	16	3	0	4	8	10	10	0	0	3	1	1	1	2	18	2	1	1	0	0	20	28	6	6	14	47	0	2	4	6	61	1	2	77	0	6	1	0	2	11	12	0	0	0	21	7	2	5	2	11	3	2	1	2	1	4	6	0	16	33	0	3	4	6	23	29	2	15	11	0	16	11	4	10	0	25	3	8	1	0	1	11	19	13	10	3	1	0	1	2	3	0
p__Proteobacteria g__Herbaspirillum s__sp. meg3	4	8	3	7	0	1	1	10	10	12	9	0	4	6	1	15	7	0	1	1	0	14	8	14	5	3	7	13	20	0	6	0	0	2	6	20	2	13	0	0	0	4	11	0	4	0	2	0	29	3	9	12	14	18	9	30	1	7	1	0	0	7	9	13	1	16	34	0	31	17	4	4	3	12	30	0	20	7	1	3	2	1	1	3	13	2	4	1	11	1	10	0	15	3	5	3	10	5	11	9	7	1	3	7	19	5	9	1	0	4	5	39	2	2	8	7	16	0	2	10	10	19	0	12	27	2	0	0	0	0	4	9	25	7	0	0	0	0	9	0
p__Proteobacteria g__Herminiimonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0
p__Proteobacteria g__Herminiimonas s__arsenicoxydans	0	0	11	0	0	3	0	2	3	0	0	1	2	8	0	12	1	0	1	7	0	6	2	0	1	0	7	6	24	0	2	0	7	2	13	4	2	15	0	0	6	0	0	0	3	0	0	0	9	2	0	15	9	4	5	0	0	1	0	0	4	1	21	3	1	2	13	0	0	0	1	0	1	8	1	5	24	0	0	0	0	17	1	0	5	0	2	1	11	1	0	0	2	0	0	4	1	2	4	0	11	8	0	0	6	4	17	0	0	1	6	1	3	1	4	2	2	0	1	8	7	35	0	7	14	0	1	0	4	7	1	10	5	5	1	0	0	0	7	0
p__Proteobacteria g__Herminiimonas s__arsenitoxidans	0	1	0	2	1	5	0	0	23	0	2	0	14	5	0	1	0	0	0	4	0	0	1	0	1	4	0	19	9	0	4	1	2	0	1	0	65	7	0	0	9	0	0	3	0	0	0	0	0	5	0	23	8	0	17	2	4	0	0	0	0	3	1	3	0	12	0	0	13	0	0	1	13	8	3	0	6	0	0	4	0	65	0	0	1	0	0	0	6	0	0	0	0	0	1	2	3	1	0	1	4	1	1	1	2	3	25	0	0	7	0	0	0	0	4	4	2	0	5	7	0	6	0	0	2	4	2	0	0	8	0	4	6	24	0	0	0	1	0	2
p__Proteobacteria g__Hippea s__maritima	0	14	0	2	1	1	2	1	0	0	2	0	10	3	12	2	8	0	7	4	203	1	0	4	0	5	3	1	2	0	75	0	13	14	0	12	0	0	3	0	1	1	7	0	0	1	0	0	5	0	21	5	0	11	0	4	0	1	3	0	1	2	9	4	3	7	2	115	1	0	1	3	1	3	2	3	1	39	0	3	1	8	3	2	2	34	2	0	3	0	0	0	0	33	0	1	3	0	41	3	5	3	2	0	13	3	1	20	0	5	8	1	1	0	1	0	2	0	0	0	1	0	1	0	8	6	0	2	0	2	1	3	4	0	2	2	0	0	0	1
p__Proteobacteria g__Hirschia s__baltica	0	0	3	0	0	0	8	3	10	0	0	0	1	11	15	0	1	0	12	10	0	7	13	1	5	0	31	0	0	6	2	0	0	17	8	6	1	4	0	0	0	0	2	0	8	0	0	0	18	4	0	13	9	0	9	18	0	0	5	0	1	5	2	1	3	70	1	0	1	0	0	0	18	62	7	3	36	11	0	1	1	2	0	0	18	2	1	15	10	0	0	1	1	0	1	7	1	10	1	4	15	1	0	0	10	0	22	8	0	10	3	47	2	4	7	6	30	0	0	1	4	11	2	0	0	13	2	2	0	0	0	13	32	6	1	0	0	2	0	0
p__Proteobacteria g__Histophilus s__somni	4	3	4	56	1	5	2	38	19	0	1	37	23	61	0	140	0	0	80	36	206	1	186	3	11	223	11	26	2	155	304	4	67	6	15	22	6	45	1	0	2	13	5	0	33	265	35	0	19	222	7	24	120	27	9	1	3	37	6	2	12	2	1	71	3	55	3	87	44	15	1	126	109	67	14	80	22	74	0	14	0	5	5	7	169	53	18	7	64	0	2	0	27	60	190	8	4	1	4	5	25	80	0	13	7	13	172	78	15	36	16	21	16	0	3	63	72	0	0	27	23	36	115	4	43	16	0	128	2	6	1	98	22	34	4	7	130	0	5	177
p__Proteobacteria g__Hoeflea	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	3	13	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	2	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
p__Proteobacteria g__Hoeflea s__phototrophica	1	3	6	1	0	15	1	19	5	0	9	0	5	9	0	1	1	0	10	14	0	4	6	3	4	2	26	3	3	1	1	0	3	7	4	3	0	5	0	9	1	0	0	0	7	0	0	0	6	0	5	9	6	15	3	0	3	0	2	0	3	2	2	17	0	3	0	0	0	18	5	6	2	11	5	2	3	1	1	3	3	33	0	0	17	11	3	2	20	0	0	0	2	6	5	2	3	1	10	3	2	0	0	1	2	1	60	2	0	15	38	16	3	1	3	3	4	0	2	0	1	27	1	8	0	5	1	0	0	0	0	9	21	4	0	0	0	0	1	0
p__Proteobacteria g__Hoeflea s__sp. IMCC20628	0	5	12	22	0	26	0	18	6	5	2	1	2	8	0	26	53	0	7	17	0	13	6	5	3	2	18	12	15	0	5	0	1	54	0	13	0	4	4	0	4	2	1	0	2	0	0	0	15	0	2	12	2	20	1	0	0	2	2	0	7	2	7	38	7	1	0	0	12	3	4	38	6	7	2	8	4	2	1	1	3	66	1	7	12	6	3	2	13	1	0	0	1	7	1	2	0	5	16	14	5	0	0	5	5	8	25	5	0	11	13	11	4	1	5	3	8	0	1	0	1	4	0	7	1	4	0	0	2	0	0	5	16	44	0	0	0	0	10	0
p__Proteobacteria g__Hydrogenophaga	0	0	3	0	1	0	1	13	18	5	1	5	6	6	0	7	1	0	2	20	0	4	0	0	2	0	3	3	17	0	1	0	0	0	2	0	0	1	0	0	46	128	0	0	20	0	0	0	1	2	2	0	8	0	19	1	0	1	0	4	0	1	1	1	0	1	0	0	0	3	1	1	0	6	0	0	18	1	0	2	1	4	0	86	21	1	5	1	11	0	1	0	0	2	8	27	1	0	4	11	2	1	60	1	89	0	5	5	0	0	0	0	2	0	7	1	17	0	0	16	16	5	0	12	12	13	0	0	0	0	0	1	0	4	1	0	0	0	13	0
p__Proteobacteria g__Hydrogenophaga s__crassostreae	0	9	7	3	0	1	0	8	19	1	0	0	7	12	20	15	2	0	4	10	0	7	13	3	121	3	27	21	2	1	41	0	26	67	56	3	3	9	0	0	4	1	0	0	12	0	1	0	74	1	1	13	14	7	10	1	5	2	3	1	2	2	5	78	0	1	0	0	12	0	8	12	6	26	3	6	4	0	7	0	8	13	2	0	18	16	5	3	46	0	0	0	1	3	4	21	0	4	18	8	4	2	0	5	12	0	18	34	0	3	6	6	8	15	3	5	10	0	24	7	8	11	2	34	1	21	0	0	0	0	0	21	4	43	5	0	0	0	73	0
